//X Y Z Nx Ny Nz
199
-0.41375941 -0.08037382 0.50000000 0.000978 0.000978 0.999999
-0.14771980 0.39386427 0.50000000 0.000978 0.000978 0.999999
-0.14501619 0.48128557 0.50000000 0.000978 0.000978 0.999999
0.16653055 0.44141054 0.50000000 0.000978 0.000978 0.999999
-0.33673337 -0.23969063 0.50000000 0.000978 0.000978 0.999999
-0.46751514 -0.05259597 0.50000000 0.000978 0.000978 0.999999
-0.06027794 0.35303250 0.50000000 0.000978 0.000978 0.999999
0.00358403 0.32528734 0.50000000 0.000978 0.000978 0.999999
-0.29970998 0.44658256 0.50000000 0.000978 0.000978 0.999999
-0.35148919 0.20818800 0.50000000 0.000978 0.000978 0.999999
-0.46174225 -0.43294618 0.50000000 0.000978 0.000978 0.999999
-0.24765843 0.48187250 0.50000000 0.000978 0.000978 0.999999
-0.25912774 -0.04354924 0.50000000 0.000978 0.000978 0.999999
-0.38994527 0.24897140 0.50000000 0.000978 0.000978 0.999999
-0.40707761 0.08763158 0.50000000 0.000978 0.000978 0.999999
-0.14354113 -0.01641008 0.50000000 0.000978 0.000978 0.999999
0.04402238 -0.13707328 0.50000000 0.000978 0.000978 0.999999
-0.12986869 -0.24698570 0.50000000 0.000978 0.000978 0.999999
0.12971520 -0.30975607 0.50000000 0.000978 0.000978 0.999999
0.32442877 0.16105872 0.50000000 0.000978 0.000978 0.999999
0.35624343 0.34617603 0.50000000 0.000978 0.000978 0.999999
0.42195073 0.09501427 0.50000000 0.000978 0.000978 0.999999
0.37454069 0.29674464 0.50000000 0.000978 0.000978 0.999999
0.22856024 0.00922740 0.50000000 0.000978 0.000978 0.999999
0.47021043 -0.28019416 0.50000000 0.000978 0.000978 0.999999
-0.23874871 -0.35664600 0.50000000 0.000978 0.000978 0.999999
0.01394707 -0.34717959 0.50000000 0.000978 0.000978 0.999999
0.13589583 -0.36159861 0.50000000 0.000978 0.000978 0.999999
0.48930803 -0.46604237 0.50000000 0.000978 0.000978 0.999999
0.10486668 -0.46053529 0.50000000 0.000978 0.000978 0.999999
-0.34884739 -0.41182113 0.50000000 0.000978 0.000978 0.999999
0.20827597 0.14407438 0.50000000 0.000978 0.000978 0.999999
0.14519417 -0.13526905 0.50000000 0.000978 0.000978 0.999999
0.02071172 -0.43170181 -0.49999997 0.000978 -0.000978 -0.999999
-0.07096130 -0.43495363 -0.49999994 0.000978 -0.000978 -0.999999
-0.18338200 0.17303665 -0.50000006 0.000978 -0.000978 -0.999999
-0.40452194 -0.42388839 -0.50000000 0.000978 -0.000978 -0.999999
0.11327732 -0.11391907 -0.50000000 0.000978 -0.000978 -0.999999
0.14240938 -0.47209960 -0.49999997 0.000978 -0.000978 -0.999999
0.05748600 -0.10601655 -0.50000000 0.000978 -0.000978 -0.999999
-0.27873814 0.17578295 -0.50000006 0.000978 -0.000978 -0.999999
-0.43499142 0.13583979 -0.50000006 0.000978 -0.000978 -0.999999
-0.05369815 -0.05037215 -0.50000000 0.000978 -0.000978 -0.999999
-0.44803312 -0.32312760 -0.50000000 0.000978 -0.000978 -0.999999
-0.43162128 -0.07111546 -0.50000000 0.000978 -0.000978 -0.999999
-0.13698089 -0.14562920 -0.49999997 0.000978 -0.000978 -0.999999
-0.08853850 -0.46365395 -0.49999994 0.000978 -0.000978 -0.999999
-0.30566937 -0.33292872 -0.50000000 0.000978 -0.000978 -0.999999
0.20014429 -0.27917260 -0.50000000 0.000978 -0.000978 -0.999999
-0.16123825 -0.18211374 -0.49999997 0.000978 -0.000978 -0.999999
0.43504453 0.16548109 -0.50000000 0.000978 -0.000978 -0.999999
-0.09479746 0.45927253 -0.50000006 0.000978 -0.000978 -0.999999
0.17991096 -0.14034015 -0.50000000 0.000978 -0.000978 -0.999999
0.24368542 -0.03608787 -0.50000000 0.000978 -0.000978 -0.999999
0.15946940 0.04448277 -0.50000000 0.000978 -0.000978 -0.999999
0.19066757 0.19910786 -0.50000006 0.000978 -0.000978 -0.999999
0.39768958 -0.01829147 -0.50000000 0.000978 -0.000978 -0.999999
0.46514481 0.45978409 -0.50000006 0.000978 -0.000978 -0.999999
0.35590807 0.22643813 -0.50000006 0.000978 -0.000978 -0.999999
0.20568782 -0.00690567 -0.50000000 0.000978 -0.000978 -0.999999
0.07720593 0.04961601 -0.50000000 0.000978 -0.000978 -0.999999
0.25350443 -0.21648872 -0.50000000 0.000978 -0.000978 -0.999999
0.30767268 0.41557640 -0.50000006 0.000978 -0.000978 -0.999999
0.27103662 0.12333840 -0.50000000 0.000978 -0.000978 -0.999999
0.37586504 0.22667462 -0.50000006 0.000978 -0.000978 -0.999999
0.00543413 0.45754912 -0.50000006 0.000978 -0.000978 -0.999999
0.44325817 -0.42323679 -0.49999997 0.000978 -0.000978 -0.999999
-0.49999997 -0.40332460 -0.48965770 -0.999999 0.000978 0.000978
-0.50000000 0.17345893 0.01527941 -0.999999 0.000978 0.000978
-0.49999997 -0.09125033 -0.33958811 -0.999999 0.000978 0.000978
-0.50000000 0.35915989 0.05607319 -0.999999 0.000978 0.000978
-0.49999997 0.14669415 -0.13154313 -0.999999 0.000978 0.000978
-0.49999997 0.01172727 -0.11630967 -0.999999 0.000978 0.000978
-0.49999997 0.17861298 -0.19549814 -0.999999 0.000978 0.000978
-0.50000000 0.18237536 0.13652128 -0.999999 0.000978 0.000978
-0.50000000 0.45057189 0.20502776 -0.999999 0.000978 0.000978
-0.49999997 -0.46013090 -0.49523339 -0.999999 0.000978 0.000978
-0.49999997 -0.16802248 -0.35282308 -0.999999 0.000978 0.000978
-0.50000000 0.22394854 0.02974492 -0.999999 0.000978 0.000978
-0.49999997 -0.27675992 -0.44506723 -0.999999 0.000978 0.000978
-0.49999997 -0.07633001 -0.15678030 -0.999999 0.000978 0.000978
-0.49999997 -0.05461088 -0.23995140 -0.999999 0.000978 0.000978
-0.49999997 0.40603754 -0.19281271 -0.999999 0.000978 0.000978
-0.50000000 0.03521886 0.47889906 -0.999999 0.000978 0.000978
-0.49999997 -0.33499628 -0.17542703 -0.999999 0.000978 0.000978
-0.49999997 -0.46687078 0.00009853 -0.999999 0.000978 0.000978
-0.49999997 -0.24545893 -0.14587852 -0.999999 0.000978 0.000978
-0.50000000 -0.42253920 0.14977986 -0.999999 0.000978 0.000978
-0.50000000 0.11931124 0.17462283 -0.999999 0.000978 0.000978
-0.50000000 -0.24436626 0.31541058 -0.999999 0.000978 0.000978
-0.49999997 -0.46223623 -0.02260727 -0.999999 0.000978 0.000978
-0.49999997 -0.46364796 -0.06670368 -0.999999 0.000978 0.000978
-0.49999997 -0.01601544 0.21716663 -0.999999 0.000978 0.000978
-0.50000000 -0.26377821 0.44658738 -0.999999 0.000978 0.000978
-0.50000000 0.07986173 0.08979401 -0.999999 0.000978 0.000978
-0.49999997 -0.10739174 0.24748978 -0.999999 0.000978 0.000978
-0.50000000 0.04724124 0.45169100 -0.999999 0.000978 0.000978
-0.49999997 -0.17606631 -0.03001124 -0.999999 0.000978 0.000978
-0.49999997 -0.45927712 -0.06167915 -0.999999 0.000978 0.000978
0.50000000 -0.19795141 0.34804273 0.999999 0.000978 -0.000978
0.49999997 0.19676462 -0.04766464 0.999999 0.000978 -0.000978
0.50000000 -0.15644789 0.23229805 0.999999 0.000978 -0.000978
0.50000000 -0.31107214 0.38945553 0.999999 0.000978 -0.000978
0.49999997 0.43653205 -0.42742151 0.999999 0.000978 -0.000978
0.50000000 -0.15762390 0.40003926 0.999999 0.000978 -0.000978
0.50000000 0.02277473 0.10361943 0.999999 0.000978 -0.000978
0.49999997 0.30731088 -0.19904268 0.999999 0.000978 -0.000978
0.50000000 0.10964596 0.18545586 0.999999 0.000978 -0.000978
0.50000000 0.11064152 0.06624231 0.999999 0.000978 -0.000978
0.50000000 0.27196497 0.07077137 0.999999 0.000978 -0.000978
0.49999997 0.39152768 -0.01525056 0.999999 0.000978 -0.000978
0.49999997 0.17160520 -0.14225048 0.999999 0.000978 -0.000978
0.50000000 -0.32928139 0.33743894 0.999999 0.000978 -0.000978
0.50000000 0.18668228 0.04817367 0.999999 0.000978 -0.000978
0.50000000 0.43846151 0.22989175 0.999999 0.000978 -0.000978
0.50000000 -0.38110840 0.07209857 0.999999 0.000978 -0.000978
0.50000000 -0.25637117 -0.12648235 0.999999 0.000978 -0.000978
0.50000000 -0.02039456 -0.05012786 0.999999 0.000978 -0.000978
0.50000000 -0.48111030 0.13921216 0.999999 0.000978 -0.000978
0.50000000 -0.30668223 0.00593010 0.999999 0.000978 -0.000978
0.50000000 -0.41068494 0.30922577 0.999999 0.000978 -0.000978
0.50000000 -0.20101312 0.10256523 0.999999 0.000978 -0.000978
0.49999997 -0.47439581 -0.31839404 0.999999 0.000978 -0.000978
0.49999997 0.10937002 -0.14506045 0.999999 0.000978 -0.000978
0.50000000 -0.16090474 -0.32819900 0.999999 0.000978 -0.000978
0.49999997 -0.17253715 -0.46756232 0.999999 0.000978 -0.000978
0.49999997 0.22486469 -0.39579386 0.999999 0.000978 -0.000978
0.49999997 -0.27641821 -0.36476099 0.999999 0.000978 -0.000978
0.49999997 -0.38368163 -0.21835305 0.999999 0.000978 -0.000978
0.49999997 -0.40061659 -0.27411106 0.999999 0.000978 -0.000978
0.49999997 -0.36075729 -0.18774188 0.999999 0.000978 -0.000978
0.49999997 0.09214351 -0.14622495 0.999999 0.000978 -0.000978
-0.40059176 -0.50000000 0.21797520 0.000978 -0.999999 0.000978
-0.01015976 -0.49999997 0.05133114 0.000978 -0.999999 0.000978
0.08620086 -0.50000000 0.27544919 0.000978 -0.999999 0.000978
-0.22213009 -0.50000000 0.30866644 0.000978 -0.999999 0.000978
0.35137364 -0.50000000 0.37260455 0.000978 -0.999999 0.000978
0.34718081 -0.50000000 0.40876240 0.000978 -0.999999 0.000978
-0.10481846 -0.49999997 -0.09776042 0.000978 -0.999999 0.000978
-0.45303279 -0.49999997 -0.26884156 0.000978 -0.999999 0.000978
-0.06894451 -0.50000000 0.44168878 0.000978 -0.999999 0.000978
-0.39349338 -0.49999997 -0.04274473 0.000978 -0.999999 0.000978
-0.43123171 -0.49999997 -0.13273278 0.000978 -0.999999 0.000978
-0.04632592 -0.49999997 -0.02884123 0.000978 -0.999999 0.000978
0.19044551 -0.50000000 0.37375903 0.000978 -0.999999 0.000978
-0.07458699 -0.50000000 0.44681841 0.000978 -0.999999 0.000978
0.09417561 -0.50000000 0.33607468 0.000978 -0.999999 0.000978
-0.46037203 -0.49999997 -0.05470628 0.000978 -0.999999 0.000978
-0.27283445 -0.50000000 0.35047317 0.000978 -0.999999 0.000978
-0.00795460 -0.49999997 -0.07366723 0.000978 -0.999999 0.000978
0.49731034 -0.50000000 0.31551009 0.000978 -0.999999 0.000978
-0.34514722 -0.49999997 -0.43027174 0.000978 -0.999999 0.000978
-0.08071825 -0.49999997 -0.27198893 0.000978 -0.999999 0.000978
0.49743032 -0.49999997 -0.06880552 0.000978 -0.999999 0.000978
