//X Y Z Nx Ny Nz
199
1.87972546 0.35119909 -1.50000000 0.000978 0.000978 -0.999999
0.45037588 0.11829296 -1.50000000 0.000978 0.000978 -0.999999
0.64449394 0.11727452 -1.50000000 0.000978 0.000978 -0.999999
0.90068823 0.46654019 -1.50000000 0.000978 0.000978 -0.999999
0.68347842 0.36512670 -1.50000000 0.000978 0.000978 -0.999999
1.43414748 0.69190115 -1.50000000 0.000978 0.000978 -0.999999
1.30880117 1.24235809 -1.50000000 0.000978 0.000978 -0.999999
1.22214353 1.19568956 -1.50000000 0.000978 0.000978 -0.999999
0.75028795 0.45283252 -1.50000000 0.000978 0.000978 -0.999999
0.93233275 1.37314045 -1.50000000 0.000978 0.000978 -0.999999
0.71326941 1.12472010 -1.50000000 0.000978 0.000978 -0.999999
1.17991602 1.57902193 -1.50000000 0.000978 0.000978 -0.999999
0.63426560 1.39039207 -1.50000000 0.000978 0.000978 -0.999999
0.58364516 1.88029504 -1.50000000 0.000978 0.000978 -0.999999
0.63906336 1.56904578 -1.50000000 0.000978 0.000978 -0.999999
0.28181738 1.41290736 -1.50000000 0.000978 0.000978 -0.999999
0.04117406 1.57892716 -1.50000000 0.000978 0.000978 -0.999999
0.02508923 1.37796187 -1.50000000 0.000978 0.000978 -0.999999
-0.07951420 0.62367284 -1.50000000 0.000978 0.000978 -0.999999
-0.39339229 1.48658407 -1.50000000 0.000978 0.000978 -0.999999
-0.37287429 1.56699443 -1.50000000 0.000978 0.000978 -0.999999
-0.07338535 0.24469158 -1.50000000 0.000978 0.000978 -0.999999
-0.50301802 1.35276890 -1.50000000 0.000978 0.000978 -0.999999
-0.49053207 1.33373296 -1.50000000 0.000978 0.000978 -0.999999
-0.56420183 0.64496672 -1.50000000 0.000978 0.000978 -0.999999
-1.09971368 1.60210550 -1.50000000 0.000978 0.000978 -0.999999
-0.96789414 1.24550009 -1.50000000 0.000978 0.000978 -0.999999
-1.14447486 0.92005289 -1.50000000 0.000978 0.000978 -0.999999
-1.14996028 0.93784654 -1.50000000 0.000978 0.000978 -0.999999
-1.63644707 1.07990992 -1.50000000 0.000978 0.000978 -0.999999
-0.83499658 0.47305563 -1.50000000 0.000978 0.000978 -0.999999
-1.42503548 0.55208588 -1.50000000 0.000978 0.000978 -0.999999
-1.81296766 0.56097960 -1.50000000 0.000978 0.000978 -0.999999
-1.90215480 0.09480956 -1.50000000 0.000978 0.000978 -0.999999
-1.84553325 0.21444423 -1.50000000 0.000978 0.000978 -0.999999
-1.40122962 0.13440432 -1.50000000 0.000978 0.000978 -0.999999
-0.95075518 -0.04941569 -1.50000000 0.000978 0.000978 -0.999999
-0.95975220 -0.14956875 -1.50000000 0.000978 0.000978 -0.999999
-1.17223823 -0.05348189 -1.50000000 0.000978 0.000978 -0.999999
-1.64424157 -0.85097295 -1.50000000 0.000978 0.000978 -0.999999
-1.31174994 -0.52389121 -1.50000000 0.000978 0.000978 -0.999999
-0.88098490 -0.40798533 -1.50000000 0.000978 0.000978 -0.999999
-0.65270901 -0.40084311 -1.50000000 0.000978 0.000978 -0.999999
-0.85101199 -0.54037738 -1.50000000 0.000978 0.000978 -0.999999
-0.74300838 -0.62448746 -1.50000000 0.000978 0.000978 -0.999999
-0.82939070 -0.86688423 -1.50000000 0.000978 0.000978 -0.999999
-0.87415206 -0.94237566 -1.50000000 0.000978 0.000978 -0.999999
-0.80748010 -1.22109485 -1.50000000 0.000978 0.000978 -0.999999
-0.57807535 -1.03409564 -1.50000000 0.000978 0.000978 -0.999999
-0.68188149 -1.52269566 -1.50000000 0.000978 0.000978 -0.999999
-0.44690526 -1.62295628 -1.50000000 0.000978 0.000978 -0.999999
-0.38002583 -1.68712914 -1.50000000 0.000978 0.000978 -0.999999
-0.32954758 -1.76331806 -1.50000000 0.000978 0.000978 -0.999999
-0.28251737 -1.70576382 -1.50000000 0.000978 0.000978 -0.999999
0.24324761 -1.05940890 -1.50000000 0.000978 0.000978 -0.999999
0.13704263 -1.89715421 -1.50000000 0.000978 0.000978 -0.999999
0.04934622 -1.78252494 -1.50000000 0.000978 0.000978 -0.999999
0.12879948 -0.41310850 -1.50000000 0.000978 0.000978 -0.999999
0.28369930 -0.81166220 -1.50000000 0.000978 0.000978 -0.999999
0.18381283 -0.49838126 -1.50000000 0.000978 0.000978 -0.999999
0.85312462 -1.26740074 -1.50000000 0.000978 0.000978 -0.999999
0.30596668 -0.49148554 -1.50000000 0.000978 0.000978 -0.999999
0.76597279 -1.28396130 -1.50000000 0.000978 0.000978 -0.999999
1.47628522 -1.02252209 -1.50000000 0.000978 0.000978 -0.999999
1.04750097 -0.98530549 -1.50000000 0.000978 0.000978 -0.999999
1.30149698 -0.88836944 -1.50000000 0.000978 0.000978 -0.999999
0.52070230 -0.25953323 -1.50000000 0.000978 0.000978 -0.999999
1.33439350 -0.39202160 -1.50000000 0.000978 0.000978 -0.999999
0.06925566 -0.03321125 -1.50000000 0.000978 0.000978 -0.999999
1.25470459 -0.12196894 -1.50000000 0.000978 0.000978 -0.999999
1.30793214 -0.29924861 -1.50000000 0.000978 0.000978 -0.999999
0.73644537 -0.01454094 -1.50000000 0.000978 0.000978 -0.999999
1.85450661 0.38799840 -1.35838139 0.814567 0.163514 0.556546
0.61715662 0.14563029 0.54550624 0.829279 0.063573 0.555207
1.42303073 0.08309019 -0.65095460 0.830482 0.034661 0.555966
0.38232720 0.10220177 0.90632653 0.829767 0.043232 0.556432
0.68955278 0.02729039 0.46028161 0.832618 0.012305 0.553711
0.53016448 0.00595304 0.70357776 0.833087 0.004077 0.553126
1.86334836 0.54160905 -1.41812634 0.797605 0.233861 0.556000
0.62448990 0.18868044 0.51786017 0.801534 0.223935 0.554433
0.67660892 0.31981662 0.36908436 0.786191 0.269416 0.556163
1.08172297 0.30107099 -0.18632174 0.801813 0.220075 0.555575
0.22518849 0.06601667 1.14701438 0.801813 0.220075 0.555575
0.61484826 0.53140545 0.27256250 0.686172 0.469135 0.555950
1.54445338 1.18814981 -1.44811702 0.659839 0.502015 0.559100
0.09692800 0.08863384 1.30202389 0.715959 0.424946 0.553917
1.28082633 0.75554812 -0.73325038 0.719565 0.418506 0.554148
1.24428642 1.05844235 -0.96836376 0.648885 0.517423 0.557873
0.84865916 0.93579829 -0.40487087 0.569163 0.602942 0.559030
0.49195957 0.57598794 0.35553694 0.570238 0.604080 0.556701
0.59922057 0.79358989 -0.00444007 0.544779 0.625737 0.558272
0.95014966 1.53534770 -1.21798420 0.450899 0.697146 0.557384
1.21519709 1.45506048 -1.36572993 0.534168 0.635272 0.557759
0.69046062 0.77503246 -0.06619966 0.569163 0.602942 0.559030
0.60060066 1.76483917 -1.31458712 0.276610 0.782410 0.557961
0.46677935 1.15798116 -0.38885510 0.348731 0.754231 0.556347
0.70453119 1.22908211 -0.62589145 0.413791 0.723722 0.552271
0.16027719 0.58622444 0.58779168 0.356142 0.749687 0.557793
0.35633022 0.71489215 0.29443240 0.396376 0.731897 0.554268
