//X Y Z Nx Ny Nz
199
0.95296299 0.13429637 -2.50000000 0.000978 0.000978 -0.999999
0.24016111 0.01593916 -2.50000000 0.000978 0.000978 -0.999999
1.26632369 0.51655740 -2.50000000 0.000978 0.000978 -0.999999
1.30591846 1.00418210 -2.50000000 0.000978 0.000978 -0.999999
1.52625966 0.91701567 -2.50000000 0.000978 0.000978 -0.999999
1.14216006 1.40037632 -2.50000000 0.000978 0.000978 -0.999999
0.50081772 1.15149772 -2.50000000 0.000978 0.000978 -0.999999
0.39259225 1.86098576 -2.50000000 0.000978 0.000978 -0.999999
-0.10645360 1.41399193 -2.50000000 0.000978 0.000978 -0.999999
-0.58794540 1.66311026 -2.50000000 0.000978 0.000978 -0.999999
-0.55144083 1.51338601 -2.50000000 0.000978 0.000978 -0.999999
-0.56589949 0.86837947 -2.50000000 0.000978 0.000978 -0.999999
-0.39419585 0.27801150 -2.50000000 0.000978 0.000978 -0.999999
-1.80694902 0.68904287 -2.50000000 0.000978 0.000978 -0.999999
-1.33340073 0.59898734 -2.50000000 0.000978 0.000978 -0.999999
-1.63710856 0.02591638 -2.50000000 0.000978 0.000978 -0.999999
-0.51795000 0.12158492 -2.50000000 0.000978 0.000978 -0.999999
-1.75252616 -0.21950249 -2.50000000 0.000978 0.000978 -0.999999
-1.39483047 -0.76573497 -2.50000000 0.000978 0.000978 -0.999999
-1.49666977 -0.98673880 -2.50000000 0.000978 0.000978 -0.999999
-1.04834163 -1.10917318 -2.50000000 0.000978 0.000978 -0.999999
-0.61867225 -1.40974903 -2.50000000 0.000978 0.000978 -0.999999
-0.35132784 -1.45401061 -2.50000000 0.000978 0.000978 -0.999999
0.05888860 -1.38255477 -2.50000000 0.000978 0.000978 -0.999999
0.42019188 -0.93931741 -2.50000000 0.000978 0.000978 -0.999999
0.56068623 -0.73117512 -2.50000000 0.000978 0.000978 -0.999999
1.59455943 -0.97586304 -2.50000000 0.000978 0.000978 -0.999999
0.79527664 -0.38926166 -2.50000000 0.000978 0.000978 -0.999999
0.86682606 -0.05012131 -2.50000000 0.000978 0.000978 -0.999999
0.97359204 -0.16826482 -2.50000000 0.000978 0.000978 -0.999999
1.42366397 0.17513455 2.50000000 0.000978 0.000978 0.999999
0.65507561 0.23790500 2.50000000 0.000978 0.000978 0.999999
0.99888062 0.60818958 2.50000000 0.000978 0.000978 0.999999
1.22016907 1.33092582 2.50000000 0.000978 0.000978 0.999999
0.41507995 0.98944306 2.50000000 0.000978 0.000978 0.999999
0.23597722 1.56764615 2.50000000 0.000978 0.000978 0.999999
-0.15970233 1.76317668 2.50000000 0.000978 0.000978 0.999999
-0.59382313 1.61688185 2.50000000 0.000978 0.000978 0.999999
-0.87922591 1.36794615 2.50000000 0.000978 0.000978 0.999999
-1.21194541 1.18077350 2.50000000 0.000978 0.000978 0.999999
-1.35662305 0.77956468 2.50000000 0.000978 0.000978 0.999999
-0.36493939 0.05782747 2.50000000 0.000978 0.000978 0.999999
-1.33640659 -0.34983343 2.50000000 0.000978 0.000978 0.999999
-0.49977744 -0.27683794 2.50000000 0.000978 0.000978 0.999999
-0.93009245 -0.63344461 2.50000000 0.000978 0.000978 0.999999
-0.97174472 -1.45984030 2.50000000 0.000978 0.000978 0.999999
-0.06821217 -0.15382251 2.50000000 0.000978 0.000978 0.999999
-0.45684972 -1.86842740 2.50000000 0.000978 0.000978 0.999999
0.01811417 -0.99793792 2.50000000 0.000978 0.000978 0.999999
0.24251293 -0.56918204 2.50000000 0.000978 0.000978 0.999999
0.79830587 -1.15570807 2.50000000 0.000978 0.000978 0.999999
0.96471804 -0.57664806 2.50000000 0.000978 0.000978 0.999999
0.37930426 -0.24020691 2.50000000 0.000978 0.000978 0.999999
1.49426234 -0.71198726 2.50000000 0.000978 0.000978 0.999999
1.45465517 -0.27782032 2.50000000 0.000978 0.000978 0.999999
0.96829963 -0.08780352 2.50000000 0.000978 0.000978 0.999999
1.99740100 0.01974106 -0.27353740 0.999941 0.010858 0.000987
1.98271191 0.13131604 0.39731693 0.997710 0.067624 0.001040
1.99506271 0.03750208 -0.84387517 0.999820 0.018940 0.000997
1.93611562 0.48524952 0.22969675 0.969932 0.243373 0.001187
1.95779192 0.32060188 -0.32370520 0.986665 0.162760 0.001122
1.97338915 0.20212913 0.83139253 0.994789 0.101947 0.001073
1.92159426 0.54240155 -2.11927080 0.962384 0.271689 0.001208
1.93174672 0.51789147 1.94250202 0.965696 0.259673 0.001197
1.83671880 0.74730915 0.03411961 0.925729 0.378186 0.001273
1.79917800 0.83794069 0.00365472 0.906315 0.422600 0.001300
1.81664324 0.79577571 0.81174588 0.916186 0.400751 0.001289
1.90125740 0.59149903 1.90469694 0.954632 0.297786 0.001225
1.67835808 1.06997371 -1.74213219 0.842882 0.538096 0.001349
1.69890428 1.04319727 -1.50112033 0.851981 0.523571 0.001346
1.48339641 1.32405269 -1.54724574 0.745961 0.665988 0.001379
1.44082868 1.37952805 -1.49999738 0.722131 0.691755 0.001381
1.50161970 1.30030370 -0.74148178 0.756234 0.654300 0.001377
1.47600043 1.33369124 0.03149438 0.742124 0.670261 0.001382
1.33609188 1.47415841 -0.78321517 0.671779 0.740750 0.001379
1.29823065 1.50321043 -0.38242769 0.654300 0.756234 0.001377
1.00514317 1.72810435 -0.89744687 0.503455 0.864020 0.001335
1.26569498 1.52817583 1.26004982 0.637877 0.770137 0.001378
1.21167958 1.56962323 0.70004392 0.610705 0.791857 0.001372
0.78816545 1.81979561 -0.76708376 0.397643 0.917539 0.001287
0.99747193 1.73309803 -1.62691820 0.498295 0.867007 0.001336
0.81669492 1.80797827 0.39121723 0.412244 0.911072 0.001292
0.64061958 1.88091099 -0.93029213 0.323658 0.946173 0.001240
0.81300181 1.80950797 2.46592164 0.410095 0.912042 0.001294
0.61216968 1.89269531 0.99611747 0.308835 0.951115 0.001230
0.46098167 1.93931055 -0.61838996 0.231726 0.972780 0.001176
0.45630673 1.93992603 -2.33599854 0.229498 0.973308 0.001177
0.35953254 1.95266664 0.16151619 0.181191 0.983447 0.001140
0.08939698 1.98823059 1.98501515 0.043880 0.999036 0.001020
0.13902089 1.98169744 2.13287020 0.069839 0.997558 0.001042
0.08561945 1.98872793 -0.61099267 0.041758 0.999127 0.001018
-0.18607296 1.97550309 0.02675414 -0.094759 0.995500 0.001065
-0.42212579 1.94442606 -2.22381759 -0.213106 0.977028 0.001165
-0.10954814 1.98557770 1.11273026 -0.056668 0.998393 0.001030
-0.31530139 1.95848978 0.02851462 -0.160219 0.987081 0.001120
-0.31103832 1.95905101 1.96480799 -0.157685 0.987489 0.001118
-0.23430392 1.96915340 1.81849313 -0.118545 0.992948 0.001088
-0.68858480 1.86104321 -1.58589578 -0.347682 0.937612 0.001255
-0.57989991 1.90606201 -0.39494896 -0.291939 0.956436 0.001222
-0.53152174 1.92610097 0.26397753 -0.265967 0.963981 0.001203
-0.90492857 1.77143073 0.77501523 -0.456129 0.889912 0.001314
-0.72839051 1.84455514 2.44747829 -0.368984 0.929435 0.001268
-0.65700299 1.87412488 1.59757054 -0.330406 0.943838 0.001247
-1.15698946 1.61158860 -0.78410280 -0.583045 0.812439 0.001365
-1.04211080 1.69973814 -1.47456324 -0.522373 0.852716 0.001343
-1.18119705 1.59301341 -1.32514000 -0.595391 0.803435 0.001369
-1.40990162 1.41752219 -2.38967991 -0.705724 0.708486 0.001381
-1.21600938 1.56630099 1.48309088 -0.613750 0.789499 0.001373
-1.28752375 1.51142609 1.37436485 -0.648407 0.761293 0.001377
-1.42223656 1.40375781 -0.40923357 -0.711237 0.702951 0.001381
-1.41733670 1.41014326 1.34628057 -0.708486 0.705724 0.001381
-1.42755377 1.39682817 -1.81041503 -0.715359 0.698755 0.001384
-1.59315121 1.18101752 0.20849967 -0.803435 0.595391 0.001369
-1.69454026 1.04888487 0.33168316 -0.850035 0.526725 0.001347
-1.66971099 1.08124280 1.48360980 -0.838844 0.544370 0.001351
-1.88364732 0.63401353 -2.03917074 -0.947186 0.320681 0.001238
-1.79758143 0.84179503 0.44134331 -0.905318 0.424733 0.001299
-1.89188468 0.61412692 -1.54313207 -0.950879 0.309560 0.001233
-1.87749875 0.64885771 0.91398406 -0.944882 0.327410 0.001245
-1.89635599 0.60333204 -0.16686869 -0.952780 0.303660 0.001229
-1.89762497 0.60026872 1.72307968 -0.953006 0.302950 0.001227
-1.96117330 0.29491791 -1.76327026 -0.988993 0.147960 0.001112
-1.93572974 0.48818189 1.66057968 -0.969369 0.245605 0.001186
-1.97905350 0.15910432 -1.90671444 -0.996878 0.078950 0.001053
-1.95437419 0.34656265 2.04754591 -0.984462 0.175594 0.001133
-1.94650578 0.40632915 1.92838669 -0.978758 0.205018 0.001158
-1.99411893 0.04467040 0.90883911 -0.999780 0.020974 0.000999
-1.98335350 -0.12644261 -0.55776107 -0.997858 -0.065416 0.001038
-1.95443487 -0.34610119 -1.74525487 -0.984462 -0.175594 0.001133
-1.94996238 -0.38007373 -1.62663794 -0.981453 -0.191699 0.001148
-1.95036364 -0.37702507 0.16427541 -0.981537 -0.191268 0.001145
-1.99499261 -0.03803555 2.36864710 -0.999780 -0.020933 0.000997
-1.93427908 -0.49919987 0.04551554 -0.967932 -0.251210 0.001191
-1.87166429 -0.66294307 -0.12722373 -0.941995 -0.335625 0.001248
-1.90330160 -0.58656389 0.61034489 -0.955540 -0.294859 0.001223
-1.92074597 -0.54444951 1.25012350 -0.961751 -0.273924 0.001207
-1.91620469 -0.55541342 2.26784635 -0.960094 -0.279674 0.001211
-1.73428965 -0.99459469 -0.59092569 -0.867007 -0.498295 0.001336
-1.78158975 -0.88040245 -0.40320897 -0.896251 -0.443546 0.001308
-1.58260822 -1.19475746 -0.37617159 -0.797530 -0.603278 0.001368
-1.68310010 -1.06379378 1.67400408 -0.844879 -0.534955 0.001347
-1.54544616 -1.24318779 -2.37519550 -0.778585 -0.627537 0.001373
-1.44259274 -1.37722898 0.45639706 -0.722131 -0.691755 0.001381
-1.61551797 -1.15186846 1.25146794 -0.813364 -0.581753 0.001362
-1.46401274 -1.34931397 1.35444403 -0.734219 -0.678911 0.001383
-1.22479689 -1.55955803 -1.60132670 -0.616789 -0.787127 0.001374
-1.40483117 -1.42141294 -2.30112886 -0.701550 -0.712619 0.001384
-1.15141177 -1.61586845 -0.90571272 -0.579946 -0.814654 0.001365
-1.02107108 -1.71588242 -0.69078231 -0.510941 -0.859615 0.001341
-1.01503885 -1.72051108 1.06206274 -0.507781 -0.861485 0.001340
-1.01726818 -1.71880043 -0.73255348 -0.509765 -0.860313 0.001338
-0.97083116 -1.74413300 -1.55360556 -0.487672 -0.873026 0.001329
-0.71577835 -1.84977937 -2.35728240 -0.360674 -0.932691 0.001266
-0.78980362 -1.81911707 -0.67564464 -0.399807 -0.916599 0.001286
-0.53538549 -1.92450047 -1.10311007 -0.268825 -0.963188 0.001205
-0.78218341 -1.82227337 0.34326887 -0.394539 -0.918878 0.001285
-0.76652777 -1.82875824 1.47826552 -0.387428 -0.921899 0.001279
-0.44388705 -1.94156122 -1.90358794 -0.223492 -0.974705 0.001170
-0.31032422 -1.95914507 0.33439159 -0.155503 -0.987835 0.001119
-0.15028346 -1.98021483 -2.18845725 -0.074451 -0.997224 0.001049
-0.04649299 -1.99387908 0.37400627 -0.022971 -0.999736 0.000999
-0.43017974 -1.94336581 1.70008051 -0.215818 -0.976433 0.001167
-0.27437532 -1.96387780 1.52478528 -0.138020 -0.990429 0.001104
0.22733122 -1.97007132 0.01025009 0.115898 -0.993261 0.001083
0.02119031 -1.99721026 1.16658807 0.010880 -0.999940 0.000989
0.21736933 -1.97138274 -1.23959649 0.111142 -0.993804 0.001079
0.32902840 -1.95668256 -0.25574803 0.165678 -0.986179 0.001127
0.41047019 -1.94596052 -0.13604975 0.207235 -0.978290 0.001158
0.34661880 -1.95436680 0.99658799 0.175594 -0.984462 0.001133
0.61745077 -1.89050782 0.34313583 0.311788 -0.950151 0.001232
0.88786459 -1.77849889 -1.76779699 0.446689 -0.894688 0.001310
0.56849378 -1.91078651 -1.12489367 0.286119 -0.958193 0.001218
0.99993622 -1.73207724 0.94477081 0.500299 -0.865851 0.001334
0.86661035 -1.78730261 -0.98246336 0.437266 -0.899331 0.001305
0.98694611 -1.73745787 -1.69528341 0.493986 -0.869469 0.001331
1.00307870 -1.72968841 0.08834648 0.501457 -0.865181 0.001337
1.09005165 -1.66295159 -1.07220626 0.548745 -0.835989 0.001355
1.08112800 -1.66979897 0.32076144 0.544370 -0.838844 0.001351
