//X Y Z Nx Ny Nz
209
0.13788502 -0.13740502 1.98723841 0.069736 -0.069736 0.995125
0.39968371 0.14597273 1.94952476 0.198891 0.071991 0.977374
-0.36429834 -0.28356606 1.94219768 -0.181390 -0.143336 0.972909
-0.42032266 0.54472893 1.87199306 -0.209958 0.273919 0.938555
-0.67912221 -0.15637545 1.87004673 -0.339747 -0.077996 0.937277
0.63940638 0.71480340 1.74951315 0.320426 0.359910 0.876237
0.30529639 0.80460984 1.79733491 0.152511 0.403370 0.902238
0.13738379 0.84089392 1.80159378 0.069382 0.420376 0.904693
-0.40588701 0.81838506 1.77185750 -0.203992 0.412386 0.887877
-0.68983549 0.56609184 1.78156543 -0.347502 0.284862 0.893362
-0.77735913 -0.00688743 1.84139788 -0.388341 -0.003845 0.921508
-0.55467504 -0.81874919 1.73415112 -0.278113 -0.411851 0.867774
-0.38899836 -0.81366146 1.77724290 -0.194238 -0.407462 0.892327
0.23170286 -0.81945169 1.80452275 0.116070 -0.409741 0.904787
0.80245596 -0.16053696 1.81904602 0.401167 -0.080233 0.912484
0.03736668 1.19567490 1.59801793 0.017978 0.598796 0.800700
-0.99497241 0.07329728 1.72896230 -0.499233 0.034194 0.865793
0.85947150 -0.71880436 1.64578581 0.431382 -0.361855 0.826420
1.13670695 -0.22135076 1.62123454 0.570904 -0.112429 0.813283
1.24839413 0.20575756 1.53587747 0.627538 0.104345 0.771563
1.13340509 0.79769510 1.42953217 0.569258 0.400956 0.717760
0.44033507 1.32976186 1.41869485 0.220411 0.667485 0.711254
-0.87521887 1.06695044 1.43442237 -0.439367 0.535530 0.721224
-1.39624059 0.12173840 1.41591990 -0.700104 0.058941 0.711604
0.18680893 -1.20588887 1.57534122 0.094515 -0.606349 0.789562
0.47631216 -1.23923802 1.48049366 0.239930 -0.622564 0.744881
1.00956583 -0.67267734 1.58375609 0.506297 -0.336999 0.793785
1.20931172 -0.26842412 1.56291640 0.605604 -0.135405 0.784161
1.05850303 1.08944988 1.29163408 0.531099 0.544587 0.649121
0.13408762 1.41325116 1.39518154 0.064932 0.711363 0.699819
-0.10228169 1.55646062 1.23665738 -0.052657 0.781310 0.621917
-0.57156026 1.35346472 1.33709764 -0.287283 0.682097 0.672467
-0.77913076 1.27595615 1.31705809 -0.391354 0.639046 0.662164
-0.89771765 1.29152226 1.21982634 -0.450327 0.647869 0.614387
-1.05558431 0.93345165 1.41008949 -0.528278 0.468285 0.708260
-1.52530682 0.15191165 1.26473093 -0.767031 0.076559 0.637026
-1.53143096 -0.11308831 1.26357579 -0.769822 -0.058558 0.635567
-1.21133709 -0.73106217 1.40967512 -0.605283 -0.365795 0.706984
-1.11777139 -1.11861348 1.22352695 -0.558781 -0.558781 0.612802
0.55146956 -1.35282123 1.34662402 0.276003 -0.681234 0.678043
1.39702272 -0.47345182 1.33399475 0.702446 -0.237291 0.671016
1.46172702 -0.03745824 1.35441148 0.733021 -0.018151 0.679964
1.57572365 0.46436176 1.12642288 0.790591 0.231430 0.566927
1.35977292 0.86301535 1.17069960 0.683080 0.430457 0.590008
0.20754543 1.61356664 1.13643086 0.103176 0.812326 0.574005
-1.18397534 1.08840644 1.17411149 -0.593866 0.546492 0.590482
-1.71430576 0.04983476 1.01673841 -0.859419 0.023154 0.510748
-1.59889555 -0.34949398 1.13041949 -0.802541 -0.176831 0.569789
0.39206645 -1.57201862 1.16225553 0.197407 -0.788097 0.583039
0.83141375 -1.37001991 1.18746781 0.416916 -0.686002 0.596307
