//X Y Z Nx Ny Nz
201
-0.27980253 0.05619487 0.50000000 0.000978 0.000978 0.999999
-0.16091123 0.28500155 0.50000000 0.000978 0.000978 0.999999
-0.23036000 0.05225256 0.50000000 0.000978 0.000978 0.999999
-0.39001390 -0.13057408 0.50000000 0.000978 0.000978 0.999999
-0.38073406 0.25364211 0.50000000 0.000978 0.000978 0.999999
0.01134622 0.37380213 0.50000000 0.000978 0.000978 0.999999
-0.11815578 -0.01884972 0.50000000 0.000978 0.000978 0.999999
-0.29004985 0.09638005 0.50000000 0.000978 0.000978 0.999999
-0.21547168 -0.18890947 0.50000000 0.000978 0.000978 0.999999
-0.30234390 -0.28491941 0.50000000 0.000978 0.000978 0.999999
-0.33422095 -0.23044047 0.50000000 0.000978 0.000978 0.999999
-0.26158184 -0.19263883 0.50000000 0.000978 0.000978 0.999999
-0.37468404 0.22127777 0.50000000 0.000978 0.000978 0.999999
-0.49368992 -0.12474003 0.50000000 0.000978 0.000978 0.999999
-0.41322309 0.34863079 0.50000000 0.000978 0.000978 0.999999
-0.08883023 0.08569615 0.50000000 0.000978 0.000978 0.999999
0.28426164 0.42198688 0.50000000 0.000978 0.000978 0.999999
-0.21179676 -0.41677466 0.50000000 0.000978 0.000978 0.999999
0.21914673 0.16970915 0.50000000 0.000978 0.000978 0.999999
-0.07507852 -0.45381531 0.50000000 0.000978 0.000978 0.999999
-0.01416447 -0.43247592 0.50000000 0.000978 0.000978 0.999999
-0.14663698 -0.39105964 0.50000000 0.000978 0.000978 0.999999
0.32773617 0.02279788 0.50000000 0.000978 0.000978 0.999999
0.12749964 -0.07878977 0.50000000 0.000978 0.000978 0.999999
0.15320477 -0.04203889 0.50000000 0.000978 0.000978 0.999999
-0.08811069 -0.24117172 0.50000000 0.000978 0.000978 0.999999
0.34126610 -0.09141773 0.50000000 0.000978 0.000978 0.999999
-0.11772859 -0.16042572 0.50000000 0.000978 0.000978 0.999999
0.20162475 -0.00276536 0.50000000 0.000978 0.000978 0.999999
-0.15705110 -0.47625127 0.50000000 0.000978 0.000978 0.999999
-0.00691968 -0.37004438 0.50000000 0.000978 0.000978 0.999999
0.21540809 -0.18553641 0.50000000 0.000978 0.000978 0.999999
-0.01449232 -0.26741320 0.50000000 0.000978 0.000978 0.999999
-0.48401344 -0.28564292 -0.50000000 0.000978 -0.000978 -0.999999
0.09312391 -0.11982360 -0.50000000 0.000978 -0.000978 -0.999999
-0.19743603 -0.19749656 -0.50000000 0.000978 -0.000978 -0.999999
0.22244745 -0.44145620 -0.49999997 0.000978 -0.000978 -0.999999
-0.03419292 -0.48928118 -0.49999994 0.000978 -0.000978 -0.999999
-0.40996808 -0.46946031 -0.49999997 0.000978 -0.000978 -0.999999
-0.28515795 -0.48147401 -0.50000000 0.000978 -0.000978 -0.999999
-0.21238992 -0.49479786 -0.50000000 0.000978 -0.000978 -0.999999
-0.25568578 -0.06113899 -0.50000006 0.000978 -0.000978 -0.999999
0.05617762 -0.29862255 -0.49999997 0.000978 -0.000978 -0.999999
0.10088593 -0.12544440 -0.50000000 0.000978 -0.000978 -0.999999
-0.45970398 -0.42170465 -0.49999997 0.000978 -0.000978 -0.999999
-0.06087410 -0.38289571 -0.49999997 0.000978 -0.000978 -0.999999
-0.49761319 0.11105743 -0.50000000 0.000978 -0.000978 -0.999999
-0.38994688 0.34943730 -0.50000006 0.000978 -0.000978 -0.999999
0.19840372 -0.48090637 -0.49999997 0.000978 -0.000978 -0.999999
0.02199912 -0.10600311 -0.50000000 0.000978 -0.000978 -0.999999
0.38473099 0.44472480 -0.50000006 0.000978 -0.000978 -0.999999
-0.06930527 0.09507561 -0.50000000 0.000978 -0.000978 -0.999999
0.42161673 0.41529799 -0.50000006 0.000978 -0.000978 -0.999999
-0.42813778 0.47192129 -0.50000006 0.000978 -0.000978 -0.999999
-0.34407428 0.43821281 -0.50000006 0.000978 -0.000978 -0.999999
0.31005457 -0.01080805 -0.50000000 0.000978 -0.000978 -0.999999
0.21215832 -0.10221940 -0.50000000 0.000978 -0.000978 -0.999999
-0.24189682 0.43412137 -0.50000006 0.000978 -0.000978 -0.999999
0.48422873 -0.06305826 -0.50000000 0.000978 -0.000978 -0.999999
0.23060820 0.14471984 -0.50000000 0.000978 -0.000978 -0.999999
-0.21670026 0.43875146 -0.50000006 0.000978 -0.000978 -0.999999
0.29409415 0.18786281 -0.50000006 0.000978 -0.000978 -0.999999
0.25554648 -0.19610637 -0.50000000 0.000978 -0.000978 -0.999999
-0.05590087 0.05882347 -0.50000000 0.000978 -0.000978 -0.999999
0.01317656 0.21187460 -0.50000006 0.000978 -0.000978 -0.999999
0.32811937 0.06485718 -0.50000000 0.000978 -0.000978 -0.999999
