//X Y Z Nx Ny Nz
203
1.22941637 0.11765838 -1.50000000 0.000978 0.000978 -0.999999
1.58013582 0.08888852 -1.50000000 0.000978 0.000978 -0.999999
1.76614201 0.41192263 -1.50000000 0.000978 0.000978 -0.999999
1.31118178 0.38211796 -1.50000000 0.000978 0.000978 -0.999999
1.67159820 0.77873719 -1.50000000 0.000978 0.000978 -0.999999
0.71108550 0.30487144 -1.50000000 0.000978 0.000978 -0.999999
0.24594438 0.23453407 -1.50000000 0.000978 0.000978 -0.999999
1.43969393 1.01360011 -1.50000000 0.000978 0.000978 -0.999999
1.01024771 0.85599083 -1.50000000 0.000978 0.000978 -0.999999
1.10275578 1.61064017 -1.50000000 0.000978 0.000978 -0.999999
1.01530457 1.09792566 -1.50000000 0.000978 0.000978 -0.999999
0.52137089 0.83721083 -1.50000000 0.000978 0.000978 -0.999999
0.32031798 1.06885982 -1.50000000 0.000978 0.000978 -0.999999
0.70610178 1.25812018 -1.50000000 0.000978 0.000978 -0.999999
0.91184676 1.62727904 -1.50000000 0.000978 0.000978 -0.999999
0.37455770 1.80338216 -1.50000000 0.000978 0.000978 -0.999999
0.35926771 1.61462474 -1.50000000 0.000978 0.000978 -0.999999
-0.07135949 1.08215046 -1.50000000 0.000978 0.000978 -0.999999
-0.18788844 1.50581264 -1.50000000 0.000978 0.000978 -0.999999
-0.12929958 1.66851628 -1.50000000 0.000978 0.000978 -0.999999
-0.68057060 1.49717021 -1.50000000 0.000978 0.000978 -0.999999
-0.88860899 1.76926792 -1.50000000 0.000978 0.000978 -0.999999
-0.56416517 1.37093997 -1.50000000 0.000978 0.000978 -0.999999
-0.66686094 1.09061885 -1.50000000 0.000978 0.000978 -0.999999
-0.60187042 0.87913018 -1.50000000 0.000978 0.000978 -0.999999
-0.78605539 1.20818639 -1.50000000 0.000978 0.000978 -0.999999
-1.01875412 0.95966315 -1.50000000 0.000978 0.000978 -0.999999
-1.30058384 1.27053428 -1.50000000 0.000978 0.000978 -0.999999
-1.16079783 1.12783301 -1.50000000 0.000978 0.000978 -0.999999
-1.79953384 0.64347482 -1.50000000 0.000978 0.000978 -0.999999
-0.52859402 0.19811147 -1.50000000 0.000978 0.000978 -0.999999
-1.50270820 0.66533065 -1.50000000 0.000978 0.000978 -0.999999
-1.65839481 0.26453424 -1.50000000 0.000978 0.000978 -0.999999
-1.86679435 0.20172836 -1.50000000 0.000978 0.000978 -0.999999
-1.07302189 0.06867915 -1.50000000 0.000978 0.000978 -0.999999
-1.26317167 -0.14856181 -1.50000000 0.000978 0.000978 -0.999999
-1.91575086 -0.03377579 -1.50000000 0.000978 0.000978 -0.999999
-1.54801774 -0.23012167 -1.50000000 0.000978 0.000978 -0.999999
-1.81368375 -0.71204674 -1.50000000 0.000978 0.000978 -0.999999
-1.10509109 -0.52401978 -1.50000000 0.000978 0.000978 -0.999999
-1.11023879 -0.57959718 -1.50000000 0.000978 0.000978 -0.999999
-1.02620828 -0.70716989 -1.50000000 0.000978 0.000978 -0.999999
-1.23995912 -0.94190836 -1.50000000 0.000978 0.000978 -0.999999
-1.26384115 -0.74575329 -1.50000000 0.000978 0.000978 -0.999999
-0.97531617 -1.62663209 -1.50000000 0.000978 0.000978 -0.999999
-0.82769269 -0.99691075 -1.50000000 0.000978 0.000978 -0.999999
-0.92039931 -1.44569802 -1.50000000 0.000978 0.000978 -0.999999
-0.77662981 -1.53437197 -1.50000000 0.000978 0.000978 -0.999999
-0.61892319 -1.21295583 -1.50000000 0.000978 0.000978 -0.999999
-0.73514330 -1.50796449 -1.50000000 0.000978 0.000978 -0.999999
-0.37999046 -1.43664074 -1.50000000 0.000978 0.000978 -0.999999
-0.35684925 -1.33295202 -1.50000000 0.000978 0.000978 -0.999999
-0.43412468 -1.74026644 -1.50000000 0.000978 0.000978 -0.999999
0.05072545 -0.96285582 -1.50000000 0.000978 0.000978 -0.999999
0.19266070 -1.05201888 -1.50000000 0.000978 0.000978 -0.999999
0.07458027 -0.51576245 -1.50000000 0.000978 0.000978 -0.999999
0.49516195 -0.99970895 -1.50000000 0.000978 0.000978 -0.999999
0.43541047 -1.10179019 -1.50000000 0.000978 0.000978 -0.999999
0.21219678 -0.50181180 -1.50000000 0.000978 0.000978 -0.999999
0.59273285 -0.73983324 -1.50000000 0.000978 0.000978 -0.999999
0.61591053 -0.70016098 -1.50000000 0.000978 0.000978 -0.999999
0.89394987 -1.01692247 -1.50000000 0.000978 0.000978 -0.999999
1.04127753 -1.00478661 -1.50000000 0.000978 0.000978 -0.999999
0.93859911 -0.62527066 -1.50000000 0.000978 0.000978 -0.999999
0.51952732 -0.43012279 -1.50000000 0.000978 0.000978 -0.999999
1.83713293 -0.55559462 -1.50000000 0.000978 0.000978 -0.999999
1.39318800 -0.50311768 -1.50000000 0.000978 0.000978 -0.999999
1.17550874 -0.59144533 -1.50000000 0.000978 0.000978 -0.999999
1.82107127 -0.08431628 -1.50000000 0.000978 0.000978 -0.999999
0.96328318 -0.06340127 -1.50000000 0.000978 0.000978 -0.999999
1.64022160 -0.17853479 -1.50000000 0.000978 0.000978 -0.999999
1.28691292 0.29202998 -0.48803926 0.819875 0.124668 0.558805
1.51988924 0.10685050 -0.80093461 0.830084 0.046194 0.555722
1.65038824 0.26768693 -1.02844489 0.821581 0.112365 0.558909
1.07855046 0.05174845 -0.12804484 0.832034 0.023379 0.554231
1.78808737 0.07559577 -1.19705975 0.830559 0.031891 0.556017
0.57780755 0.07585908 0.61830807 0.830559 0.031891 0.556017
1.16038418 0.65023583 -0.49843144 0.755111 0.344408 0.557844
1.35082471 0.68021011 -0.78197938 0.759532 0.337032 0.556345
0.66472948 0.25628379 0.42247331 0.793784 0.244841 0.556740
1.63923633 0.93644482 -1.33346903 0.729405 0.400103 0.554875
1.85218453 0.60213816 -1.43756688 0.790978 0.255306 0.556034
1.91352642 0.51837736 -1.47481346 0.801813 0.220075 0.555575
0.50986338 0.43229103 0.48986220 0.695670 0.455439 0.555535
0.62576473 0.38729054 0.39219236 0.716963 0.422230 0.554694
0.87264788 0.64573097 -0.14217031 0.692881 0.459138 0.555975
0.38126385 0.36134064 0.70956707 0.692881 0.459138 0.555975
0.65031791 0.40075189 0.35032320 0.716963 0.422230 0.554694
1.13095880 1.26545715 -1.06056416 0.558781 0.612802 0.558781
0.02611542 0.03157187 1.43805122 0.587327 0.587327 0.556861
0.24096096 0.37125564 0.83245230 0.558781 0.612802 0.558781
0.77563465 0.78251445 -0.15362740 0.586160 0.589538 0.555754
0.69171548 1.09845424 -0.45555806 0.494753 0.665820 0.558484
1.07154393 1.46150815 -1.24116147 0.498387 0.662838 0.558798
0.54149365 1.70386457 -1.19513655 0.269416 0.786191 0.556163
0.82642305 1.50074589 -1.07618976 0.402863 0.728442 0.554142
0.36773574 1.24429798 -0.45216274 0.301582 0.773901 0.556889
0.25969249 0.85330409 0.15691447 0.340719 0.757332 0.557099
0.25575566 0.94731778 0.02778363 0.319665 0.766233 0.557406
0.33363038 0.78818530 0.20512748 0.377296 0.739893 0.556961
0.24882701 1.77809203 -1.21627593 0.124872 0.821218 0.556783
0.29582804 1.45441556 -0.74004316 0.179667 0.810765 0.557118
0.00321308 1.00469851 -0.00768232 0.109220 0.822791 0.557751
0.11934003 1.40479636 -0.63076174 0.112096 0.822526 0.557571
0.09743381 0.81077206 0.26460063 0.169759 0.812738 0.557349
0.33918458 1.59172106 -0.95456338 0.182893 0.811683 0.554726
-0.05447582 0.77591825 0.32536483 -0.023433 0.831185 0.555502
-0.00096526 0.06471980 1.40272975 -0.001354 0.832674 0.553762
-0.04199447 0.59518158 0.59893465 -0.017813 0.831707 0.554928
-0.04574316 0.29894924 1.04254293 -0.020630 0.832085 0.554265
-0.07227714 0.43775403 0.82909560 -0.031818 0.831416 0.554739
-0.27308902 0.75145864 0.29151535 -0.244236 0.794933 0.555364
-0.86431479 1.68468893 -1.35523975 -0.370771 0.743175 0.556973
-0.20744780 0.55232143 0.60786963 -0.237781 0.797266 0.554822
-0.60154647 1.43625534 -0.85584778 -0.297939 0.775916 0.556046
-0.50982702 1.63634717 -1.08242798 -0.244236 0.794933 0.555364
-0.33286816 1.05597746 -0.16874504 -0.233861 0.797605 0.556000
-1.18628407 1.19533849 -1.02735662 -0.558781 0.612802 0.558781
-0.25555032 0.41137660 0.77085781 -0.421229 0.718567 0.553379
-0.52025694 0.70743072 0.17170393 -0.447200 0.699893 0.556922
-0.58790880 0.74086565 0.06926322 -0.462834 0.690073 0.556403
-0.37455034 0.38145828 0.69716716 -0.462834 0.690073 0.556403
-1.19590294 0.97626781 -0.83460456 -0.630079 0.538861 0.559132
-1.22880900 0.76621509 -0.68063843 -0.675746 0.481238 0.558370
-0.74209929 0.54532766 0.10700059 -0.626887 0.542401 0.559298
-1.25604343 0.98433667 -0.91422254 -0.641546 0.527044 0.557354
-1.30628943 1.00295699 -0.99168265 -0.647753 0.519885 0.556899
-1.46547961 0.87642366 -1.06621850 -0.697146 0.450899 0.557384
-0.49349630 0.13509011 0.73198771 -0.745528 0.367054 0.556291
-1.58214819 0.82501328 -1.18915594 -0.736415 0.385429 0.556001
-1.54501247 0.65915978 -1.04122293 -0.757332 0.340719 0.557099
-1.31217670 0.39873841 -0.56499195 -0.774540 0.297411 0.558242
-0.51961553 0.27104759 0.61676264 -0.725923 0.406583 0.554730
-1.17220807 0.25527275 -0.30872321 -0.808532 0.193378 0.555771
-1.55751419 0.32528839 -0.90050882 -0.810765 0.179667 0.557118
-0.43326616 0.09866679 0.83061624 -0.804214 0.209861 0.556056
-1.28174651 0.16199093 -0.45460939 -0.818085 0.144019 0.556773
-1.61859202 0.28686970 -0.98453873 -0.814997 0.157018 0.557787
-0.68720484 -0.13065670 0.44339085 -0.829276 -0.054910 0.556136
-1.54794765 -0.30462053 -0.88207746 -0.819952 -0.128072 0.557921
