//X Y Z Nx Ny Nz
205
1.95682979 0.11650015 -2.50000000 0.000978 0.000978 -0.999999
0.44546482 0.19555175 -2.50000000 0.000978 0.000978 -0.999999
0.41245806 0.16272932 -2.50000000 0.000978 0.000978 -0.999999
0.25789985 0.21577793 -2.50000000 0.000978 0.000978 -0.999999
0.60673690 0.82605779 -2.50000000 0.000978 0.000978 -0.999999
0.84051132 1.46659136 -2.50000000 0.000978 0.000978 -0.999999
0.25388846 1.23176897 -2.50000000 0.000978 0.000978 -0.999999
0.18012135 1.25514722 -2.50000000 0.000978 0.000978 -0.999999
-0.10470939 0.42258704 -2.50000000 0.000978 0.000978 -0.999999
-0.91032803 1.58182812 -2.50000000 0.000978 0.000978 -0.999999
-0.80288160 0.99889612 -2.50000000 0.000978 0.000978 -0.999999
-1.56029153 1.16152716 -2.50000000 0.000978 0.000978 -0.999999
-1.09483337 1.05446386 -2.50000000 0.000978 0.000978 -0.999999
-0.94536614 0.28617096 -2.50000000 0.000978 0.000978 -0.999999
-1.36176205 0.20708358 -2.50000000 0.000978 0.000978 -0.999999
-1.80843759 0.10538139 -2.50000000 0.000978 0.000978 -0.999999
-1.35959804 -0.01837389 -2.50000000 0.000978 0.000978 -0.999999
-1.71988916 -0.43454325 -2.50000000 0.000978 0.000978 -0.999999
-0.98685896 -0.46479696 -2.50000000 0.000978 0.000978 -0.999999
-0.42356089 -0.26295522 -2.50000000 0.000978 0.000978 -0.999999
-0.24084726 -0.28257751 -2.50000000 0.000978 0.000978 -0.999999
-0.40473476 -0.43568444 -2.50000000 0.000978 0.000978 -0.999999
-0.43629536 -0.86377203 -2.50000000 0.000978 0.000978 -0.999999
-0.08323400 -0.95026970 -2.50000000 0.000978 0.000978 -0.999999
0.09544355 -1.09905469 -2.50000000 0.000978 0.000978 -0.999999
0.40300494 -1.37581038 -2.50000000 0.000978 0.000978 -0.999999
0.48373204 -1.72553718 -2.50000000 0.000978 0.000978 -0.999999
0.82762372 -1.21506763 -2.50000000 0.000978 0.000978 -0.999999
0.61127591 -0.98005289 -2.50000000 0.000978 0.000978 -0.999999
1.28414345 -0.90696251 -2.50000000 0.000978 0.000978 -0.999999
1.29472065 -0.56946158 -2.50000000 0.000978 0.000978 -0.999999
1.51883888 -0.10341999 -2.50000000 0.000978 0.000978 -0.999999
1.83896923 0.37700185 2.50000000 0.000978 0.000978 0.999999
0.93742043 0.31888121 2.50000000 0.000978 0.000978 0.999999
1.62961125 1.02878392 2.50000000 0.000978 0.000978 0.999999
0.80281037 0.80907321 2.50000000 0.000978 0.000978 0.999999
0.84962440 1.13285768 2.50000000 0.000978 0.000978 0.999999
0.82340479 1.48392892 2.50000000 0.000978 0.000978 0.999999
0.04283676 0.91679990 2.50000000 0.000978 0.000978 0.999999
-0.21312389 1.34022069 2.50000000 0.000978 0.000978 0.999999
-0.59523571 1.86115718 2.50000000 0.000978 0.000978 0.999999
-0.28218478 0.49968961 2.50000000 0.000978 0.000978 0.999999
-0.28117961 0.32006529 2.50000000 0.000978 0.000978 0.999999
-1.09824955 0.98328042 2.50000000 0.000978 0.000978 0.999999
-1.09513092 0.33285403 2.50000000 0.000978 0.000978 0.999999
-1.41031861 0.07249485 2.50000000 0.000978 0.000978 0.999999
-1.57399070 -0.27015892 2.50000000 0.000978 0.000978 0.999999
-1.19060326 -0.44666448 2.50000000 0.000978 0.000978 0.999999
-1.79680622 -0.77915263 2.50000000 0.000978 0.000978 0.999999
-1.45144773 -0.97956502 2.50000000 0.000978 0.000978 0.999999
-1.50367582 -0.99756908 2.50000000 0.000978 0.000978 0.999999
-0.47546783 -0.77788776 2.50000000 0.000978 0.000978 0.999999
-0.47137883 -1.31984055 2.50000000 0.000978 0.000978 0.999999
-0.03050749 -1.65358496 2.50000000 0.000978 0.000978 0.999999
-0.21121913 -1.62354183 2.50000000 0.000978 0.000978 0.999999
0.28194091 -1.08467746 2.50000000 0.000978 0.000978 0.999999
0.17433834 -0.51870209 2.50000000 0.000978 0.000978 0.999999
0.63882607 -0.99295574 2.50000000 0.000978 0.000978 0.999999
0.99183488 -0.64376897 2.50000000 0.000978 0.000978 0.999999
1.34419537 -0.46572113 2.50000000 0.000978 0.000978 0.999999
1.28754926 -0.22816958 2.50000000 0.000978 0.000978 0.999999
1.99379575 0.04712570 0.04519510 0.999686 0.025017 0.001001
1.99939954 0.00456137 -1.13354778 0.999995 0.002944 0.000981
1.99302649 0.05296924 0.08711624 0.999632 0.027126 0.001005
1.94158721 0.44368875 1.24119902 0.974705 0.223492 0.001170
1.94127738 0.44604260 -0.38779259 0.974588 0.224003 0.001173
1.96052575 0.29983693 0.23451185 0.988281 0.152643 0.001114
1.90464389 0.58332348 1.74667454 0.955752 0.294171 0.001221
1.92659581 0.53032678 -0.75593376 0.963981 0.265967 0.001203
1.89425337 0.60840821 -2.14522314 0.951836 0.306607 0.001231
1.79084170 0.85806620 -0.38253403 0.901868 0.432009 0.001305
1.85022688 0.71469754 2.30756187 0.932691 0.360674 0.001266
1.84931564 0.71689761 2.26821351 0.931838 0.362873 0.001264
1.57256103 1.20785117 -1.68790913 0.792878 0.609379 0.001369
1.54031420 1.24987602 -0.78424978 0.776155 0.630540 0.001374
1.61465394 1.15299463 -1.43534231 0.813364 0.581753 0.001362
1.61327028 1.15479779 1.46794832 0.813364 0.581753 0.001362
1.46952319 1.34213257 0.24198985 0.738126 0.674661 0.001380
1.58968329 1.18553686 1.02635741 0.801148 0.598464 0.001369
1.38286400 1.43826890 -2.34278226 0.693136 0.720806 0.001384
1.37069225 1.44760859 1.42381573 0.687475 0.726206 0.001383
1.06899011 1.67911291 -2.19737387 0.538096 0.842882 0.001349
1.07814384 1.67208886 1.72127163 0.542465 0.840077 0.001353
1.12133169 1.63894975 0.60620713 0.564391 0.825507 0.001360
1.00685179 1.72679317 0.01242995 0.503455 0.864020 0.001335
0.84216958 1.79742634 0.39496207 0.424733 0.905318 0.001299
0.71736217 1.84912324 -0.90935946 0.362873 0.931838 0.001264
0.76842880 1.82797074 -2.40301108 0.388343 0.921514 0.001282
0.61918724 1.88978863 -1.41710067 0.311788 0.950151 0.001232
0.74159145 1.83908713 1.39773476 0.375114 0.926978 0.001272
0.59203160 1.90103686 0.01524734 0.297786 0.954632 0.001225
0.18864575 1.97516429 -2.40430236 0.094759 0.995500 0.001065
0.39741972 1.94767869 -1.73358285 0.199666 0.979863 0.001154
0.27620131 1.96363735 -2.36569905 0.140185 0.990125 0.001104
0.06390388 1.99158692 0.22804451 0.031266 0.999511 0.001009
0.04913464 1.99353135 0.38959789 0.023017 0.999735 0.001001
0.28676057 1.96224725 0.83157480 0.145143 0.989410 0.001108
-0.29663458 1.96094728 -0.99105597 -0.150466 0.988615 0.001115
-0.13296473 1.98249483 -1.95516360 -0.067764 0.997701 0.001043
-0.06565146 1.99135685 0.72942019 -0.033348 0.999443 0.001011
-0.21902344 1.97116506 2.22855783 -0.111381 0.993777 0.001081
-0.26764441 1.96476388 1.65894830 -0.135556 0.990769 0.001102
-0.47088715 1.93800652 2.49873590 -0.237255 0.971447 0.001180
-0.55000639 1.91844428 1.04752278 -0.276796 0.960928 0.001209
-0.56292462 1.91309345 -0.45333028 -0.283219 0.959055 0.001216
-0.52232707 1.92990947 -0.60646677 -0.262509 0.964929 0.001199
-0.95735776 1.74971378 -2.00048304 -0.481358 0.876523 0.001326
-0.79460502 1.81712830 1.35854232 -0.400751 0.916186 0.001289
-0.99735683 1.73314559 -0.31585336 -0.498295 0.867007 0.001336
-1.02721834 1.71116555 1.28066564 -0.514100 0.857729 0.001342
-1.03971553 1.70157611 -0.57942414 -0.522373 0.852716 0.001343
-1.11664712 1.64254439 -1.99009025 -0.563126 0.826370 0.001357
-1.39757049 1.42698419 2.06373739 -0.700167 0.713977 0.001381
-1.19317710 1.58382082 2.26347017 -0.601533 0.798847 0.001370
-1.36039841 1.45550740 -0.80526376 -0.683251 0.730182 0.001380
-1.63808048 1.12246454 -1.97130227 -0.824239 0.566240 0.001358
-1.55377638 1.23233175 -0.82155097 -0.783405 0.621510 0.001372
-1.51905966 1.27757549 -1.99646926 -0.765161 0.643838 0.001379
-1.56016064 1.22401166 0.67406321 -0.787127 0.616789 0.001374
-1.48392773 1.32336020 2.08260393 -0.745961 0.665988 0.001379
-1.62341893 1.14157188 0.15347433 -0.817758 0.575560 0.001361
-1.84667003 0.72328472 -0.85352588 -0.930643 0.365926 0.001266
-1.83810997 0.74395055 -0.55550325 -0.926619 0.376001 0.001275
-1.76535940 0.91958588 0.27306676 -0.886654 0.462431 0.001317
-1.86973214 0.66760802 -0.28473353 -0.941713 0.336415 0.001251
-1.85845852 0.69482499 0.84839940 -0.936483 0.350710 0.001257
-1.82941866 0.76493335 0.10107970 -0.922811 0.385251 0.001280
-1.98893535 0.08404434 -1.81866908 -0.999131 0.041673 0.001016
-1.93406785 0.50080508 1.68984127 -0.967932 0.251210 0.001191
-1.95648062 0.33056280 -1.20096207 -0.985809 0.167869 0.001127
-1.97154105 0.21616748 0.38000083 -0.994066 0.108776 0.001077
-1.99086952 0.06935266 -0.42553902 -0.999443 0.033348 0.001011
-1.99245715 0.05729328 0.39787245 -0.999632 0.027126 0.001005
-1.97534847 -0.18724672 -0.52727342 -0.995480 -0.094960 0.001067
-1.97932541 -0.15703924 0.47027850 -0.996710 -0.081042 0.001052
-1.99554181 -0.03386365 2.06966352 -0.999821 -0.018902 0.000995
-1.94976389 -0.38158149 1.85674012 -0.981019 -0.193909 0.001147
-1.96933937 -0.23289022 2.38156056 -0.992979 -0.118289 0.001085
-1.93487895 -0.49464357 -1.31229496 -0.968656 -0.248404 0.001189
-1.92517984 -0.53374535 0.80604315 -0.963362 -0.268202 0.001203
-1.86040187 -0.69013304 -1.36015630 -0.937307 -0.348502 0.001258
-1.79853535 -0.83949184 -2.26132989 -0.906315 -0.422600 0.001300
-1.78913295 -0.86219132 -0.31948137 -0.900850 -0.434129 0.001304
-1.85779631 -0.69642335 1.96882963 -0.936173 -0.351537 0.001260
-1.83804369 -0.74411011 1.59773540 -0.926619 -0.376001 0.001275
-1.71980572 -1.01595819 -0.61468530 -0.860313 -0.509765 0.001338
-1.60865974 -1.16080630 -1.72961092 -0.810210 -0.586138 0.001366
-1.55592227 -1.22953510 -1.38824356 -0.783405 -0.621510 0.001372
-1.62430382 -1.14041865 1.43498063 -0.817758 -0.575560 0.001361
-1.61522222 -1.15225410 1.16868567 -0.813364 -0.581753 0.001362
-1.41710210 -1.41044891 1.33806956 -0.707106 -0.707106 0.001384
-1.26814437 -1.52629638 0.46229219 -0.637877 -0.770137 0.001378
-1.32174253 -1.48516917 -2.21030092 -0.663079 -0.748548 0.001379
-1.25615466 -1.53549647 -2.11515832 -0.631887 -0.775059 0.001377
-1.14838886 -1.61818802 1.86463296 -0.578659 -0.815569 0.001362
-1.25029659 -1.53999150 0.74495018 -0.628881 -0.777500 0.001376
-1.30000949 -1.50184548 1.67272758 -0.652721 -0.757597 0.001380
-0.80669504 -1.81212032 0.12735081 -0.406977 -0.913437 0.001292
-0.64714986 -1.87820613 -1.20173109 -0.326641 -0.945148 0.001242
-0.62563109 -1.88711953 -2.20160723 -0.315485 -0.948930 0.001237
-0.53204072 -1.92588592 -1.11899042 -0.268202 -0.963362 0.001203
-0.61636329 -1.89095831 1.25142539 -0.309560 -0.950879 0.001233
-0.63041651 -1.88513732 0.54777086 -0.317711 -0.948187 0.001236
-0.09424767 -1.98759210 -2.42797112 -0.046011 -0.998940 0.001022
-0.40545788 -1.94662046 -0.04089403 -0.204554 -0.978855 0.001156
-0.20672455 -1.97278428 -1.05896497 -0.104070 -0.994569 0.001073
-0.05950043 -1.99216664 -0.42145276 -0.029133 -0.999575 0.001005
-0.19410814 -1.97444522 0.49118090 -0.097281 -0.995256 0.001069
-0.07253221 -1.99045098 0.63120663 -0.035439 -0.999371 0.001013
0.02220123 -1.99707711 0.34084129 0.012857 -0.999917 0.000989
0.37271792 -1.95093071 -1.11876309 0.188635 -0.982047 0.001143
0.26116860 -1.96561646 -0.21678829 0.132811 -0.991141 0.001098
0.36179870 -1.95236826 -0.33358431 0.183394 -0.983039 0.001139
0.41188347 -1.94577456 -0.25174713 0.207706 -0.978191 0.001160
0.39238048 -1.94834220 1.87778437 0.199215 -0.979955 0.001152
0.91004968 -1.76930940 -2.45561981 0.457199 -0.889364 0.001318
0.71546549 -1.84990883 0.16336775 0.360674 -0.932691 0.001266
0.66348040 -1.87144172 -2.40732217 0.335625 -0.941995 0.001248
0.88627481 -1.77915728 -1.02413082 0.446689 -0.894688 0.001310
0.81406325 -1.80906832 -0.14598846 0.410095 -0.912042 0.001294
0.74951404 -1.83580542 0.82975876 0.378186 -0.925729 0.001273
1.01382375 -1.72144341 1.53936958 0.507781 -0.861485 0.001340
1.10912359 -1.64831722 -1.42120469 0.558142 -0.829744 0.001358
1.03618968 -1.70428145 -1.25432765 0.520416 -0.853912 0.001345
1.38162863 -1.43921673 -1.00705099 0.693136 -0.720806 0.001384
1.31660759 -1.48910904 -1.30069876 0.663079 -0.748548 0.001379
1.29178405 -1.50815701 2.15386271 0.651358 -0.758770 0.001377
1.67876208 -1.06944728 -2.07005692 0.842882 -0.538096 0.001349
1.58393502 -1.19302821 -2.20837116 0.798847 -0.601533 0.001370
1.65692258 -1.09790897 -2.42309713 0.833922 -0.551880 0.001356
1.62062335 -1.14521503 0.57316470 0.816854 -0.576843 0.001364
1.64203942 -1.11730516 1.87045372 0.826370 -0.563126 0.001357
1.45635831 -1.35928953 2.49917865 0.731560 -0.681775 0.001383
1.77506030 -0.89616603 0.16794109 0.892578 -0.450890 0.001315
1.80465245 -0.82472432 0.40498495 0.909207 -0.416342 0.001297
1.77638233 -0.89297456 -0.23858762 0.893111 -0.449834 0.001311
