//X Y Z Nx Ny Nz
206
0.05452491 0.05041752 1.99511123 0.027786 0.025728 0.999283
-0.12882344 -0.19661148 1.98450375 -0.064397 -0.098290 0.993072
0.19500920 0.33866259 1.95707059 0.098670 0.169323 0.980609
0.00670884 -0.35815328 1.96339953 0.003420 -0.178985 0.983846
-0.49025914 0.23101377 1.92221832 -0.244269 0.115026 0.962861
-0.30379841 -0.69093204 1.84920478 -0.151725 -0.346601 0.925661
0.34429872 -0.46624652 1.90915692 0.171737 -0.232976 0.957198
0.86320770 0.46202770 1.74057353 0.433477 0.229488 0.871454
0.22568648 0.73142517 1.84611952 0.113602 0.365444 0.923875
-0.84692603 0.21087430 1.79384768 -0.425141 0.104543 0.899069
-0.30274019 -0.77155006 1.81301367 -0.151408 -0.386302 0.909861
0.78434843 -0.19093238 1.82600236 0.393476 -0.094599 0.914455
0.30703947 -1.16819143 1.59265947 0.154325 -0.585837 0.795600
0.69255096 -0.92566895 1.62116265 0.348485 -0.466237 0.813131
1.28731060 0.14688101 1.50854623 0.646514 0.073763 0.759328
1.28752279 0.36820123 1.47763050 0.645655 0.185568 0.740739
1.04306185 0.86094624 1.45887184 0.522784 0.433729 0.733877
0.59576070 1.10917747 1.54634726 0.297411 0.558242 0.774540
0.32284719 1.29367077 1.48265219 0.162626 0.648985 0.743217
-1.03626418 0.89365065 1.44603169 -0.521116 0.448325 0.726253
-1.35188580 -0.08120295 1.45949817 -0.679060 -0.041112 0.732931
-1.25048006 -0.64060909 1.41569185 -0.626077 -0.321936 0.710201
-1.11007535 -0.74449968 1.47454834 -0.557646 -0.374490 0.740803
-0.44584394 -1.22135901 1.50541806 -0.225826 -0.615182 0.755350
1.33448541 0.51873410 1.38051522 0.671240 0.261831 0.693456
1.35689414 0.66475886 1.29243398 0.682600 0.333969 0.650017
0.86021811 1.25811648 1.27656269 0.432299 0.632592 0.642607
0.45208463 1.36315620 1.37938499 0.226939 0.683946 0.693337
0.47107202 1.41342235 1.31761658 0.237731 0.710044 0.662813
-1.48657227 0.38925737 1.27326858 -0.743832 0.195583 0.639110
-0.71964800 -1.37529707 1.24872100 -0.359117 -0.690358 0.628045
-0.07489564 -1.46380341 1.34642375 -0.035376 -0.734398 0.677797
0.37400284 -1.38559139 1.38991237 0.185989 -0.693230 0.696305
0.92945319 -1.10865390 1.36446524 0.466525 -0.556820 0.687246
1.26707375 -0.76417911 1.33563125 0.634513 -0.384004 0.670771
1.36107028 -0.71856529 1.26431465 0.684049 -0.359249 0.634837
1.48337758 -0.10384836 1.31975722 0.746398 -0.049950 0.663623
1.57773292 0.25144520 1.18141043 0.794884 0.125820 0.593573
0.81574333 1.46712673 1.07489181 0.409325 0.734813 0.540835
0.63186270 1.58055568 1.02292442 0.316141 0.795913 0.516311
0.13507232 1.57702899 1.20539296 0.067353 0.792473 0.606177
-0.76745450 1.47143948 1.09677219 -0.385197 0.739250 0.552388
-1.61502588 0.01367441 1.17244577 -0.809250 0.006846 0.587425
-1.32354093 -0.88354254 1.19522738 -0.665234 -0.441822 0.601878
-1.29687262 -1.07667112 1.04969144 -0.652256 -0.541018 0.530906
-1.01351440 -1.37904453 1.00932097 -0.509556 -0.693330 0.509556
